Covariate,HR,LB,UB
Gender.female,0.904879613134471,0.7644188130237115,1.0711498727085766
TCGA.tumor.type_brca,0.1088049054845587,0.06068114337472598,0.19509367818594125
TCGA.tumor.type_coadread,0.14823363692834687,0.06109705847127694,0.3596443374984256
TCGA.tumor.type_gbm,1.9468549565599382,1.1265505845924582,3.36446873644219
TCGA.tumor.type_hnsc,0.24115889360892268,0.1406688945025909,0.4134361912228472
TCGA.tumor.type_kirc,0.1970247937022601,0.10995141122821418,0.3530538526044586
TCGA.tumor.type_laml,0.9488545932161176,0.5171638930707685,1.7408892057824383
TCGA.tumor.type_luad,0.49260914701637465,0.26348427718222334,0.9209800839705367
TCGA.tumor.type_lusc,0.5461856686231249,0.31420917626157263,0.9494273469624761
TCGA.tumor.type_ov,0.24585922336907373,0.14045472022894137,0.430364729765691
TCGA.tumor.type_ucec,0.08141224753525454,0.03794306081003312,0.1746815862306227
ACVR1B,1.8251819225773482,0.86438830616595,3.853926559093901
ACVR2A,0.44748878670745657,0.10029423526512782,1.9965874778302135
AJUBA,1.2956772587284209,0.6837979225653092,2.4550813966909297
AKT1,0.7204763189831331,0.21892017850623735,2.371120514140709
APC,1.2269105993077034,0.814389995391419,1.848389134458968
AR,2.1016108327812515,1.0040868458369303,4.398790912136711
ARHGAP35,0.9019435910018181,0.57242677322234925,1.4211463883316025
ARID1A,0.94853895006798,0.6170029070698037,1.4582202603694971
ARID5B,1.1051979901753055,0.5789326337269367,2.1098527295382317
ASXL1,0.844392188246071,0.45311187008286413,1.5735587934180506
ATM,0.9591478197548506,0.6113282278204399,1.5048618700635175
ATR,1.108160064061606,0.7023916483917966,1.7483390219583443
ATRX,1.0422501731013347,0.6646953385237429,1.6342606309566592
AXIN2,0.7417251112039466,0.2856373048966636,1.9260654373893478
B4GALT3,1.9109249719556547,0.21770861523903765,16.773035115924714
BAP1,1.8882569704127035,1.2678749456777387,2.8121972111423226
BRAF,0.5988420288874506,0.3111465599745009,1.1525493824885198
BRCA1,0.9306701164020521,0.5894391507717827,1.469442374890977
BRCA2,0.6798495040741832,0.4211397119452046,1.097486974227807
CBFB,1.2180297268107798,0.45342295333871707,3.2719923075585085
CCND1,1.0255638835330676,0.3499356029245767,3.0056423822474647
CDH1,0.9164961277830449,0.513812078204684,1.634771131064583
CDK12,0.8013403488780004,0.4750906358304489,1.3516291551767938
CDKN1A,2.565725678268199,1.0784862485457474,6.103877787038444
CDKN1B,2.598864219063307,1.2017499912006726,5.620216582967887
CDKN2A,1.0851951057935743,0.7725229295935626,1.5244187227658181
CDKN2C,1.7372561055327835,0.6246266453614588,4.831780390131201
